City,State,Zip Code,Latitude,Longitude,Landfill ID,DDRT_ID,main_landfill_ID,geometry,facility_id,facility_label,x,y,PFAS_CT_2020
Eagle River,AK,99577,61.293281,-149.602138,1994.0,,1994.0,POINT (-149.602138 61.293281),1994.0,MLF,-149.602138,61.293281,1239.012775849
Juneau,AK,99801,58.3528,-134.4947,11941.0,,11941.0,POINT (-134.4947 58.3528),11941.0,MLF,-134.4947,58.3528,284.28070177899997
Soldotna,AK,99669,60.443004,-151.107896,12216.0,,12216.0,POINT (-151.107896 60.443004),12216.0,MLF,-151.107896,60.443004,502.09487768500003
Palmer,AK,99645,61.59,-149.21,10980.0,,10980.0,POINT (-149.21 61.59),10980.0,MLF,-149.21,61.59,366.57166631
Fairbanks,AK,99701,64.80476,-147.70085,10961.0,,10961.0,POINT (-147.70085 64.80476),10961.0,MLF,-147.70085,64.80476,466.302521498
Uniontown,AL,36786,32.413,-87.4685,10860.0,,10860.0,POINT (-87.4685 32.413),10860.0,MLF,-87.4685,32.413,315.772771343
Coker,AL,35452,33.24314,-87.66585,2005.0,,2005.0,POINT (-87.66585 33.24314),2005.0,MLF,-87.66585,33.24314,847.275537136
Brundidge,AL,36010,31.7041,-85.8299,2408.0,,2408.0,POINT (-85.8299 31.7041),2408.0,MLF,-85.8299,31.7041,192.643858538
Ragland,AL,35131,33.68345,-86.25272,23.0,,23.0,POINT (-86.25272 33.68345),23.0,MLF,-86.25272,33.68345,592.260399244
Mt. Vernon,AL,36560,31.06179,-88.02503,8.0,,8.0,POINT (-88.02503 31.06179),8.0,MLF,-88.02503,31.06179,656.989357703
Thorsby,AL,35171,32.9285,-86.7405,2409.0,,2409.0,POINT (-86.7405 32.9285),2409.0,MLF,-86.7405,32.9285,240.106498134
Trinity,AL,35673,34.6175,-87.10163,2.0,,2.0,POINT (-87.10163 34.6175),2.0,MLF,-87.10163,34.6175,644.671908724
Dothan,AL,36303,31.238766,-85.356721,19.0,,19.0,POINT (-85.356721 31.238766),19.0,MLF,-85.356721,31.238766,601.078311152
Elba,AL,36323,31.507053,-86.000975,9.0,,9.0,POINT (-86.000975 31.507053),9.0,MLF,-86.000975,31.507053,418.34620361599997
Cullman,AL,35057,34.02878,-86.90069,4.0,,4.0,POINT (-86.90069 34.02878),4.0,MLF,-86.90069,34.02878,353.01447736800003
Birmingham,AL,35210,33.5978,-86.6288,15.0,,15.0,POINT (-86.6288 33.5978),15.0,MLF,-86.6288,33.5978,518.068912385
Huntsville,AL,35804,34.6885,-86.592,11.0,,11.0,POINT (-86.592 34.6885),11.0,MLF,-86.592,34.6885,1652.037896652
Gardendale,AL,35071,33.711,-86.873,25.0,,25.0,POINT (-86.873 33.711),25.0,MLF,-86.873,33.711,112.68853616999999
Pinson,AL,35126,33.7077,-86.7104,13.0,,13.0,POINT (-86.7104 33.7077),13.0,MLF,-86.7104,33.7077,259.494533051
Summerdale,AL,36580,30.45727,-87.7761,20.0,,20.0,POINT (-87.7761 30.45727),20.0,MLF,-87.7761,30.45727,888.950033591
Hillsboro,AL,35643,34.70381,-87.22116,2011.0,,2011.0,POINT (-87.22116 34.70381),2011.0,MLF,-87.22116,34.70381,159.94853515
Birmingham,AL,35207,33.585,-86.815,14.0,,14.0,POINT (-86.815 33.585),14.0,MLF,-86.815,33.585,1579.3443223
Montgomery,AL,36104,32.4131,-86.3245,18.0,,18.0,POINT (-86.3245 32.4131),18.0,MLF,-86.3245,32.4131,1408.28189474
Dora,AL,35062,33.71458,-87.04981,22.0,,22.0,POINT (-87.04981 33.71458),22.0,MLF,-87.04981,33.71458,166.454185383
Opelika,AL,36804,32.65347,-85.2636,17.0,,17.0,POINT (-85.2636 32.65347),17.0,MLF,-85.2636,32.65347,509.884269041
Collinsville,AL,35961,34.342,-85.862,2410.0,,2410.0,POINT (-85.862 34.342),2410.0,MLF,-85.862,34.342,511.984613536
Hollywood,AL,35768,34.756,-85.919,11821.0,,11821.0,POINT (-85.919 34.756),11821.0,MLF,-85.919,34.756,200.806203592
Columbiana,AL,35051,33.171785,-86.687566,5.0,,5.0,POINT (-86.687566 33.171785),5.0,MLF,-86.687566,33.171785,903.060465455
Tuscumbia,AL,35674,34.694,-87.6609,32.0,,32.0,POINT (-87.6609 34.694),32.0,MLF,-87.6609,34.694,696.111974236
Moody,AL,35004,33.60527,-86.51658,7.0,,7.0,POINT (-86.51658 33.60527),7.0,MLF,-86.51658,33.60527,267.010571145
Tallassee,AL,36078,32.5154,-85.8311,11581.0,,11581.0,POINT (-85.8311 32.5154),11581.0,MLF,-85.8311,32.5154,359.951433033
Piedmont,AL,36272,33.9962,-85.7254,2204.0,,2204.0,POINT (-85.7254 33.9962),2204.0,MLF,-85.7254,33.9962,733.240990102
Brewton,AL,36426,31.2593,-87.1923,21.0,,21.0,POINT (-87.1923 31.2593),21.0,MLF,-87.1923,31.2593,319.90846842999997
Citronelle,AL,36522,31.15848,-88.19,11982.0,,11982.0,POINT (-88.19 31.15848),11982.0,MLF,-88.19,31.15848,161.286170277
Jasper,AL,,33.875,-87.2465,2015.0,,2015.0,POINT (-87.2465 33.875),2015.0,MLF,-87.2465,33.875,220.595802144
Haleyville,AL,35565,34.17569,-87.60779,2009.0,,2009.0,POINT (-87.60779 34.17569),2009.0,MLF,-87.60779,34.17569,219.732722054
Hamburg,AR,71646,33.212,-91.84759,11542.0,,11542.0,POINT (-91.84759 33.212),11542.0,MLF,-91.84759,33.212,87.194363195
