year,us_pop,V_sales,V_sales_nylon,V_import,V_export,V_production,Percent_nylon,RR_total,RR_total_24,IncR,PhaseOut
1990,249.350726,855.2729902,522.4648879,171.054598,85.52729902,783.8550826,0.611,0.04,0.04,0.02,1
1991,252.321287,865.4620144,528.6891081,173.0924029,86.54620144,793.1932922,0.611,0.04,0.04,0.02,1
1992,255.322416,875.7558869,534.9773774,175.1511774,87.57558869,802.6275949,0.611,0.04,0.04,0.02,1
1993,258.14886,885.4505898,540.899629,177.090118,88.54505898,811.5127605,0.611,0.04,0.04,0.02,1
1994,260.741495,894.3433279,546.3319804,178.8686656,89.43433279,819.6629278,0.611,0.04,0.04,0.02,1
1995,263.275715,903.0357025,551.6419347,180.6071405,90.30357025,827.6294625,0.611,0.04,0.04,0.02,1
1996,265.808033,911.7215532,556.9479038,182.3443106,91.17215532,835.5900182,0.611,0.04,0.04,0.02,1
1997,268.489588,920.9192868,562.5665693,184.1838574,92.09192868,844.019713,0.611,0.04,0.04,0.02,1
1998,271.032375,929.6410463,567.8944741,185.9282093,92.96410463,852.0131788,0.611,0.04,0.04,0.02,1
1999,273.682793,938.73198,573.4478983,187.746396,93.873198,860.3449918,0.611,0.04,0.04,0.02,1
2000,276.429905,948.1545742,576.4779811,189.6309148,94.81545742,868.9807706,0.608,0.04,0.04,0.02,1
2001,284.767466,976.7524084,601.6794836,195.3504817,97.67524084,895.1905983,0.616,0.04,0.04,0.02,1
2002,287.545631,1029.584279,640.4014213,205.9168557,102.9584279,943.610846,0.622,0.012474484,0.012474484,0.000430937,1
2003,290.192036,1026.539557,638.5076045,205.3079114,102.6539557,940.820368,0.622,0.019790719,0.019790719,0.001592357,1
2004,293.051784,1071.507751,678.2644065,214.3015503,107.1507751,982.0335806,0.633,0.02136007,0.02136007,0.002179599,1
2005,295.804899,1148.094207,694.5969952,229.6188414,114.8094207,1052.224833,0.605,0.039471007,0.039471007,0.006103764,1
2006,298.741143,1094.694476,652.4379079,218.9388953,109.4694476,1003.284143,0.596,0.050992106,0.050992106,0.004480478,1
2007,301.731257,1064.94989,622.9956854,212.9899779,106.494989,976.0233204,0.585,0.038377193,0.038377193,0.004605263,1
2008,304.536282,1088.640165,610.7271325,169.0835328,101.2643136,1039.532531,0.561,0.058420057,0.058420057,0.010170293,1
2009,306.817502,925.9076087,506.471462,153.290016,73.3934016,861.5183242,0.547,0.069448183,0.069448183,0.015881561,1
2010,309.320851,890.0384476,484.1809155,182.0899584,88.257888,810.8007915,0.544,0.080936851,0.080936851,0.018974207,1
2011,311.591124,920.083603,487.6443096,182.0899584,93.8320704,847.0730296,0.53,0.065775681,0.065775681,0.02148847,1
2012,313.891713,898.9110783,429.6794954,193.2383232,91.0449792,811.3215217,0.478,0.084463277,0.084463277,0.014971751,1
2013,316.079153,927.5439514,433.1630253,200.6705664,99.4062528,841.425293,0.467,0.0534,0.0534,0.021648649,1
2014,318.410016,938.227801,439.0906108,226.6834176,92.90304,819.1928955,0.468,0.03316404,0.03316404,0.044699358,1
2015,320.766593,946.6819776,439.2604376,237.8317824,81.7546752,805.0966094,0.464,0.034899329,0.034899329,0.054625036,1
2016,323.103153,949.4690688,436.7557716,257.3414208,79.8966144,786.17542,0.46,0.042875399,0.042875399,0.037678381,1
2017,325.15755,988.3954426,454.6619036,287.999424,84.5417664,799.3256466,0.46,0.053764462,0.053764462,0.028051023,1
2018,326.876624,957.3658272,440.3882805,330.7348224,81.7546752,721.3703462,0.46,0.045562831,0.045562831,0.0105145,1
2019,328.371824,891.7298294,410.1957215,330.7348224,72.4643712,645.0706499,0.46,0.04604811,0.04604811,0.003289151,1
2020,329.541748,1062.810778,488.8929577,379.9734336,58.5289152,754.9554574,0.46,0.051,0.24,0.02,0.85
2021,333.180374,1191.016973,547.8678075,500.7473856,61.3160064,765.3621116,0.46,0.051,0.24,0.02,0.7
2022,334.138874,1005.758011,462.6486849,331.9001435,80.46064086,768.1451202,0.46,0.051,0.24,0.02,0.55
2023,336.438919,1012.681146,465.8333272,334.1847782,81.0144917,773.4326473,0.46,0.051,0.24,0.02,0.4
2024,338.716738,1019.537381,468.9871954,336.4473359,81.56299051,778.6690795,0.46,0.051,0.24,0.02,0.25
2025,340.969441,1026.318017,472.106288,338.6849457,82.10544139,783.847773,0.46,0.051,0.24,0.02,0.1
2026,343.193772,1033.013254,475.1860967,340.8943737,82.6410603,788.9612427,0.46,0.051,0.24,0.02,0
2027,345.386155,1039.612327,478.2216702,343.0720678,83.16898612,794.0012677,0.46,0.051,0.24,0.02,0
2028,347.542672,1046.103443,481.2075837,345.2141361,83.68827542,798.9588412,0.46,0.051,0.24,0.02,0
2029,349.659432,1052.47489,484.1384495,347.3167138,84.19799123,803.8250181,0.46,0.051,0.24,0.02,0
2030,351.732722,1058.715493,487.0091269,349.3761128,84.69723946,808.5912626,0.46,0.051,0.24,0.02,0
2031,353.759304,1064.815505,489.8151323,351.3891167,85.1852404,813.2501311,0.46,0.051,0.24,0.02,0
2032,355.738996,1070.774378,492.5562139,353.3555447,85.66195024,817.8012052,0.46,0.051,0.24,0.02,0
2033,357.672274,1076.593545,495.2330306,355.2758698,86.12748358,822.245579,0.46,0.051,0.24,0.02,0
2034,359.559594,1082.274378,497.8462139,357.1505447,86.58195024,826.5843009,0.46,0.051,0.24,0.02,0
2035,361.401543,1087.818644,500.3965764,358.9801527,87.02549155,830.8187203,0.46,0.051,0.24,0.02,0
2036,363.198839,1093.228505,502.8851125,360.7654068,87.45828043,834.9504878,0.46,0.051,0.24,0.02,0
2037,364.953487,1098.509996,505.3145981,362.5082986,87.88079967,838.9842127,0.46,0.051,0.24,0.02,0
2038,366.667841,1103.670201,507.6882926,364.2111665,88.29361611,842.9253066,0.46,0.051,0.24,0.02,0
2039,368.344337,1108.716454,510.009569,365.8764299,88.69731635,846.7793694,0.46,0.051,0.24,0.02,0
2040,369.98518,1113.655392,512.2814802,367.5062793,89.09243134,850.5514703,0.46,0.051,0.24,0.02,0
2041,371.593041,1118.495053,514.5077246,369.1033676,89.47960427,854.2477495,0.46,0.051,0.24,0.02,0
2042,373.171677,1123.246748,516.693504,370.6714268,89.85973982,857.876844,0.46,0.051,0.24,0.02,0
2043,374.725168,1127.922756,518.8444676,372.2145094,90.23382045,861.4481332,0.46,0.051,0.24,0.02,0
2044,376.257575,1132.535301,520.9662383,373.7366492,90.60282406,864.9709527,0.46,0.051,0.24,0.02,0
2045,377.772939,1137.096546,523.0644113,375.2418603,90.96772371,868.4545925,0.46,0.051,0.24,0.02,0
2046,379.275281,1141.618596,525.1445541,376.7341366,91.32948766,871.9082962,0.46,0.051,0.24,0.02,0
2047,380.76859,1146.113456,527.2121897,378.2174404,91.68907647,875.3412341,0.46,0.051,0.24,0.02,0
2048,382.256769,1150.592875,529.2727224,379.6956486,92.04742998,878.7623788,0.46,0.051,0.24,0.02,0
2049,383.743721,1155.0686,531.3315561,381.1726381,92.40548802,882.1807028,0.46,0.051,0.24,0.02,0
2050,385.233405,1159.552549,533.3941726,382.6523412,92.76420392,885.6053073,0.46,0.051,0.24,0.02,0
2051,386.729191,1164.054865,535.4652379,384.1381054,93.12438919,889.0439396,0.46,0.051,0.24,0.02,0
2052,388.232514,1168.579867,537.5467389,385.6313562,93.48638937,892.4998985,0.46,0.051,0.24,0.02,0
2053,389.744184,1173.129994,539.6397972,387.132898,93.85039951,895.9750462,0.46,0.051,0.24,0.02,0
2054,391.265117,1177.708002,541.745681,388.6436407,94.21664017,899.4714884,0.46,0.051,0.24,0.02,0
2055,392.796163,1182.316451,543.8655673,390.1644287,94.58531605,902.9911792,0.46,0.051,0.24,0.02,0
2056,394.338337,1186.958394,546.0008614,391.6962701,94.95667155,906.5364519,0.46,0.051,0.24,0.02,0
2057,395.892993,1191.637909,548.1534381,393.2405099,95.33103271,910.1104192,0.46,0.051,0.24,0.02,0
2058,397.46159,1196.359386,550.3253175,394.7985973,95.70875087,913.7164353,0.46,0.051,0.24,0.02,0
2059,399.045644,1201.127388,552.5185987,396.3720382,96.09019108,917.3579851,0.46,0.051,0.24,0.02,0
2060,400.646668,1205.946471,554.7353765,397.9623353,96.47571765,921.0385469,0.46,0.051,0.24,0.02,0
