,Year,LFAccu_Yearly_High_Status quo,LFAccu_Yearly_Low_Status quo,LFAccu_Yearly_High_Recycling,LFAccu_Yearly_Low_Recycling,LFAccu_Yearly_High_PhaseOut,LFAccu_Yearly_Low_PhaseOut,LFLeach_High_Status quo,LFLeach_Low_Status quo,LFLeach_High_Recycling,LFLeach_Low_Recycling,LFLeach_High_PhaseOut,LFLeach_Low_PhaseOut,V_annual_landfill_StatusQuo,V_annual_landfill_Recycling,V_annual_landfill_PhaseOut
0,1990,31473.53937,2644.591028,31473.53938,2644.591028,31473.53938,2644.591028,693.3487,50.91021923,693.3487,50.91021923,693.3487,50.91021923,340.9865889,340.9865889,340.9865889
1,1991,30727.9645,2622.659935,30727.9645,2622.659935,30727.9645,2622.659935,1382.869746,101.5393869,1382.869746,101.5393869,1382.869746,101.5393869,339.1041613,339.1041613,339.1041613
2,1992,30112.25637,2606.193767,30112.25637,2606.193767,30112.25637,2606.193767,2084.99607,153.0941171,2084.99607,153.0941171,2084.99607,153.0941171,345.3033954,345.3033954,345.3033954
3,1993,29622.86639,2596.092038,29622.86639,2596.092038,29622.86639,2596.092038,2807.07074,206.1135858,2807.07074,206.1135858,2807.07074,206.1135858,355.1139254,355.1139254,355.1139254
4,1994,29259.43234,2593.268418,29259.43233,2593.268418,29259.43233,2593.268418,3551.821048,260.798049,3551.821048,260.798049,3551.821048,260.798049,366.265729,366.265729,366.265729
5,1995,29044.54131,2623.608876,29044.54131,2623.608876,29044.54131,2623.608876,4319.853478,317.1920386,4319.853478,317.1920386,4319.853478,317.1920386,377.7157993,377.7157993,377.7157993
6,1996,28917.31315,2656.177756,28917.31315,2656.177756,28917.31315,2656.177756,5110.825885,375.2704322,5110.825885,375.2704322,5110.825885,375.2704322,388.9976041,388.9976041,388.9976041
7,1997,28870.36893,2696.208669,28870.36893,2696.208669,28870.36893,2696.208669,5924.017736,434.9803233,5924.017736,434.9803233,5924.017736,434.9803233,399.9250525,399.9250525,399.9250525
8,1998,28880.64343,2737.086806,28880.64343,2737.086806,28880.64343,2737.086806,6758.568469,496.258524,6758.568469,496.258524,6758.568469,496.258524,410.42928,410.42928,410.42928
9,1999,28944.36472,2782.936153,28944.36473,2782.936153,28944.36473,2782.936153,7613.614325,559.0416112,7613.614325,559.0416112,7613.614325,559.0416112,420.508713,420.508713,420.508713
10,2000,29227.99811,2828.425674,29227.99811,2828.425674,29227.99811,2828.425674,8488.182634,623.2581655,8488.182634,623.2581655,8488.182634,623.2581655,430.1097913,430.1097913,430.1097913
11,2001,29572.91091,2880.391094,29572.91091,2880.391094,29572.91091,2880.391094,9382.527926,688.9268757,9382.527926,688.9268757,9382.527926,688.9268757,439.8360453,439.8360453,439.8360453
12,2002,31446.41358,3079.682207,31446.41358,3079.682207,31446.41358,3079.682207,10343.36719,759.4780107,10343.36719,759.4780107,10343.36719,759.4780107,472.5375619,472.5375619,472.5375619
13,2003,31478.47288,3100.456802,31478.47288,3100.456802,31478.47288,3100.456802,11319.81292,831.1750748,11319.81292,831.1750748,11319.81292,831.1750748,480.2127685,480.2127685,480.2127685
14,2004,31814.65237,3148.410874,31814.65237,3148.410874,31814.65237,3148.410874,12320.36931,904.6425016,12320.36931,904.6425016,12320.36931,904.6425016,492.0703079,492.0703079,492.0703079
15,2005,31459.06905,3128.262327,31459.06905,3128.262327,31459.06905,3128.262327,13325.97881,978.4809618,13325.97881,978.4809618,13325.97881,978.4809618,494.5554167,494.5554167,494.5554167
16,2006,31420.60122,3139.008678,31420.60122,3139.008678,31420.60122,3139.008678,14346.43504,1053.409566,14346.43504,1053.409566,14346.43504,1053.409566,501.8569835,501.8569835,501.8569835
17,2007,32214.28259,3234.202714,32214.28258,3234.202714,32214.28258,3234.202714,15401.21353,1130.858336,15401.21353,1130.858336,15401.21353,1130.858336,518.7365601,518.7365601,518.7365601
18,2008,31820.42989,3208.459021,31820.42988,3208.459021,31820.42988,3208.459021,16444.43661,1207.458632,16444.43661,1207.458632,16444.43661,1207.458632,513.0536479,513.0536479,513.0536479
19,2009,31643.83121,3206.897848,31643.83121,3206.897848,31643.83121,3206.897848,17473.81049,1283.042029,17473.81049,1283.042029,17473.81049,1283.042029,506.2426588,506.2426588,506.2426588
20,2010,31702.98121,3228.192005,31702.98121,3228.192005,31702.98121,3228.192005,18483.95094,1357.213181,18483.95094,1357.213181,18483.95094,1357.213181,496.7837168,496.7837168,496.7837168
