facility_id,Landfill Name,Address,facility_y,facility_x,Year Landfill Opened,Landfill Closure Year,STATEFP,COUNTYFP,GEOID,NAMELSAD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
2,City of Decatur-Morgan County Regional MSW Landfill,500 Landfill Drive,34.6175,-87.10163,1980,2051,1,103,1103,Morgan County,9.14917318389625,18.00026458254225,27.069685166549444,36.453281369657326,46.33039771535475,56.78446916423569,67.4590405877241,80.10121628544817,92.94706078832789,105.92832723660086,119.04766813838921,131.991916538223,145.99797757483404,159.94823499737936,173.86285991524335,187.9571553109423,201.9863586039054,216.93434007164632,230.9752277240413,244.26955941198497,258.51336968183824,273.0185545237407,288.24731762457395,304.2653528651268,321.3943699707464,338.3040304419507,356.96213331934,375.2731566771451,393.9698141100306,412.3891671503734,429.87549499364525,447.1088540409245,463.80148060570053,480.5292078472321,495.5595727331946,509.4934193367289,522.2709395483914,533.9273301004074,544.557195563071,554.238468517319,563.033678383979,570.9967699521843,578.176956722843,584.6221865550889,590.3789816203301,595.4916361206781,600.0028705329871,603.950867317179,607.3711709721678,610.2967897706347,612.7583601568776,615.1984826499436,617.2013582212754,618.7932837610392,619.9983562207103,620.838975244889,621.335337123041,621.5088104422274,621.3769604956915,620.9568267395407,620.2644699077155,619.3147355718753,615.2269535751393,611.1391715784034,607.0513895816674,602.9636075849315,598.8758255881955,594.7880435914597,590.7002615947237,586.6124795979878,582.5246976012518
4,Cullman Environmental Waste Management Center,2805 AL Highway 69 South,34.02878,-86.90069,1993,2040,1,43,1043,Cullman County,0.0,0.0,0.0,4.458406793385345,9.1753019173172,15.547796741260218,22.072193174906385,28.621985175784047,35.24547434816599,41.95327283841181,48.70872608873968,55.42614607369944,62.607156198474186,70.63113922859525,78.64457262240253,86.69661373396299,94.66785426545673,103.20421234892189,111.22927715192964,118.86236830856745,127.01284226941667,135.22302544945384,143.77369474558722,152.71989721070992,162.21721052539507,171.72866748637034,182.15962746789538,192.22341901159234,202.6198413700774,212.869543931133,222.6139950344079,232.4079937460558,241.89904083291987,251.31841905802048,259.9103337316082,267.8991016936454,275.24932542325257,281.979144480892,288.1419354865504,293.7780862800517,298.92183141585303,303.60236037224917,307.8457879307457,311.6783901119207,315.1255696507656,318.21136551473074,320.9582774572481,323.38735063599466,325.5183448801486,327.3670683322003,328.950621925879,326.743386745746,324.53615156561307,322.3289163854801,320.12168120534716,317.91444602521415,315.7072108450812,313.49997566494824,311.2927404848152,309.0855053046823,306.8782701245493,304.67103494441636,302.4637997642834,300.2565645841504,298.04932940401744,295.8420942238845,293.6348590437515,291.4276238636185,289.22038868348557,287.0131535033526,284.80591832321966
5,Shelby County Highway 70 Landfill,"4154 Highway 70
401 Landfill Road",33.171785,-86.687566,1997,2055,1,117,1117,Shelby County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.419975703705777,34.922115057263575,52.56336540920212,70.42593115125675,88.2779248245655,107.33015206286821,126.22569919436992,145.44238563841955,164.3369623213026,183.15475846763013,203.0881960944747,222.10547307763278,240.37672416377274,259.5918566554371,279.82898452456413,300.49192891659953,322.47710120774985,345.64906818940887,369.08708964679107,394.75517268297637,419.55359554301026,445.1867299925493,471.6574066294975,497.50537129827353,522.7174416756466,546.693227413291,570.4806219411716,592.0736535756386,612.0351049113267,630.306838419082,646.9596703064819,662.1331733401819,675.9457527240381,688.4955817999971,705.2411699194353,720.5349320078619,734.469823956342,747.1362479901611,758.6201720889394,769.0019713414142,778.3550234170827,787.129006363266,796.8632004097755,805.6075771013078,813.4250635803086,820.3742850429494,826.5094887401146,831.8809536255951,836.5347609652899,840.5138422158337,843.8594815906805,846.6091601444073,848.8002584541896,850.4628836712775,851.627263870793,852.3216977636691,852.572790828272,852.405246592242,851.8423812383778,847.0786011829621,842.3148211275463,837.5510410721307,832.7872610167151,828.0234809612994
6,Calhoun County SLF,3625 Morrisville Road,33.675,-85.92,1969,1993,1,15,1015,Calhoun County,14.994045884363224,29.524918199371744,44.30032388074005,60.09843579684332,59.51147859557218,58.941941150274374,58.361479451230586,57.78298608619508,57.24700873573857,56.79409508043177,56.39058660873296,55.834729084792755,55.279757311156274,54.67154210259564,54.09363923776262,53.59151723224865,53.136832076334386,52.87504365323223,52.378137732840216,51.704475418504046,51.255793681315055,50.756033676611025,50.31443794185187,49.60131053064954,49.07684793414151,48.45327972031624,48.121024939717415,47.53465823864877,46.967679627561736,46.40572026819584,45.72753078564061,45.146970669896405,44.58934164534874,44.14961582789745,43.625542320633514,43.101468813369564,42.57739530610563,42.05332179884168,41.529248291577744,41.005174784313795,40.48110127704986,39.95702776978591,39.432954262521974,38.908880755258025,38.38480724799409,37.86073374073014,37.336660233466205,36.812586726202255,36.28851321893832,35.76443971167437,35.240366204410435,34.716292697146486,34.19221918988255,33.6681456826186,33.144072175354665,32.619998668090716,32.09592516082678,31.571851653562835,31.047778146298892,30.52370463903495,29.999631131771007,29.475557624507065,28.95148411724312,28.427410609979177,27.903337102715234,27.37926359545129,26.85519008818735,26.331116580923407,25.807043073659464,25.282969566395522,24.75889605913158
7,Star Ridge Landfill,3301 Acmar Road,33.60527,-86.51658,1983,2128,1,115,1115,St. Clair County,4.924168077210075,9.696903914075213,14.566061248248928,19.757853268170702,25.228742881224544,31.465046092040602,37.85068120726699,42.02273803826454,46.26197609341535,50.58670170268746,54.99479834024344,59.29983523195348,63.901902715104804,68.4843352870481,73.11327457199451,77.8001867897976,82.44473847880381,87.49600581391748,92.15461786360187,96.48158920996437,101.22198106053125,106.12595997903067,111.27637104431048,116.4937222252714,122.16723356973944,127.85982508828627,134.31738902619725,140.28208996639086,146.5532546251186,152.8348259921561,160.1730586583847,167.47536625072405,185.54253350042217,203.135838342381,219.57755788804218,234.9570861705325,249.2197224234657,262.399750307143,274.58935021062314,285.86196635536527,296.2786084721901,305.89098621444725,314.74755383002594,322.8940559530962,330.3753954141959,337.23386965506637,343.509358643911,349.23903363493275,354.45718399377654,361.3893341559607,367.72274226803967,373.49417130768853,378.7374110027866,383.4841609343448,387.764228753678,391.60460411759163,395.0305285305842,398.0665585560191,400.73495792697867,403.0567908567629,405.05111318655366,406.7360206694292,408.12837706901473,409.2441958252922,410.0982912009126,410.7047491660642,411.92921258684214,412.85240227958775,413.4905636413332,413.85878982331553,413.9709788112095
8,Chastang SLF,17045 Highway 43,31.06179,-88.02503,1976,2151,1,97,1097,Mobile County,30.16047206273369,59.23437455758097,88.90153983761607,120.38565441966588,154.01326582035875,188.6657479545704,224.65319235985964,245.56716934020957,266.36740944208805,288.68679265922503,311.5567051655755,333.98906639344557,348.3111300420655,362.32933394353984,376.95894287256897,391.1305839095123,406.388590623043,421.8122015439598,436.44675428999903,449.70395699039045,462.0489330366138,475.8460634804886,487.78176079524104,500.9611699916461,514.8932968691387,528.7242841072508,544.3219837964632,558.0765247861896,573.3886543154562,589.3694207270463,605.9731463889541,619.4642974797217,633.0241638643204,647.5395361752121,659.345259545197,670.0384517989993,679.5691159492629,687.9779336844484,695.3631572023844,701.8040772587997,707.3660987989102,712.1052882846999,716.0727492156143,719.3183118781267,721.8896084059056,723.8309057214921,725.1835852118949,729.5792670000831,733.2236637898877,736.1642611241252,738.4455505578421,740.1081970836885,741.1902751768133,743.29315106024,744.7775606594466,745.6790953994673,746.0315233345991,745.867069136356,745.2151631031172,744.103304110939,742.557024677245,743.3541000643386,743.5468898892887,743.1685615016445,742.2500238281708,740.8204564505745,738.907087528815,736.5357936458237,733.7308714729127,730.5151512645031,726.9101673306116
9,Coffee County Sanitary Landfill,7733 Highway 125,31.507053,-86.000975,1993,2048,1,31,1031,Coffee County,0.0,0.0,0.0,10.243662356563016,21.087912390749153,32.45426802093302,44.15790717561212,55.95983482125553,67.6445470777918,79.71085988778644,91.97370295675066,100.57743918736685,109.7681558563676,118.71924557974812,127.79389744348049,136.74793778433215,146.06842480762356,155.39812185354276,164.49877893073227,172.9172866789087,182.3873941962009,192.4510384945484,202.33187865748718,212.46283803394846,223.20524458393112,233.90253684890712,245.66892103948288,256.7970512597042,268.39500880587497,281.09810537897704,292.59850391118795,303.6329089747701,314.40087214350126,324.8626234855459,334.2001160476126,342.84473878008953,350.75963156648976,357.96607740836,364.52324070371594,370.4797647232015,375.87542306788885,380.7437884169419,385.11581888546243,389.0216673387123,392.4903341569858,395.5496803077449,398.22567399813016,400.5422815896811,402.5218740301277,404.1852936680624,405.55176554643884,407.041281133348,408.2406866277249,409.1668406397639,409.8357430812403,410.2621465718437,410.4597825400588,410.441821865331,410.2202835452266,407.34593252795804,404.47158151068953,401.59723049342097,398.72287947615246,395.8485284588839,392.9741774416154,390.0998264243468,387.2254754070783,384.3511243898098,381.47677337254123,378.60242235527267,375.72807133800416
11,Huntsville MSWLF,4100 Leeman Ferry Road SW,34.6885,-86.592,1946,2060,1,89,1089,Madison County,20.56288730891333,40.44756994606816,60.820737099938526,82.46315111329712,105.22558221964972,129.32547906664252,153.87639644787077,182.56518255146926,211.5759910206954,240.84995179092854,270.43262246591473,299.61134117088443,331.25690027820315,365.7932516518266,400.1031946014859,435.0095106850704,469.78506704783223,506.5234938798922,541.2086121006756,574.4227426492298,609.6063801091466,645.6127419493912,683.5533679549713,723.5744170758776,766.3607798289288,809.0019398294944,856.0246459641453,902.2797788887963,950.2162202918588,998.4148471177851,1043.3374718814198,1089.460857536043,1133.747877651156,1178.8121564273827,1219.3543759126737,1257.1013460880076,1292.095194167859,1324.1797367480679,1353.5979792065884,1380.545912156138,1405.1770822926653,1427.6247266817463,1452.6698584068884,1475.4789242320571,1496.192096017378,1514.9320921390245,1531.8205472614113,1546.9707435219489,1560.4880353178814,1572.47113968149,1583.011759366857,1592.7607299596677,1601.1917648371407,1608.3813706164174,1614.4009760205936,1619.315735906473,1623.1871824757036,1626.075136956404,1628.0336607172821,1629.113563142477,1629.362527586707,1628.8250504112852,1628.1826226332578,1626.7840280500427,1624.6690084724275,1621.8747021182548,1618.436146011037,1614.3863045620908,1609.7563844584806,1604.5757506655318,1598.8721492615177
12,Shannon SLF,2785 Shannon Oxmoor Road,33.42488,-86.85479,1972,1993,1,73,1073,Jefferson County,37.382904187592096,73.59099931148384,110.61376115436677,146.28749460690165,144.83668491372944,143.4885033174052,142.009423384592,140.50207321213782,139.06551742130563,137.87032771009729,136.78489304690686,135.21933943989774,133.75047480376153,132.29040007406834,130.82652430375114,129.55673917029685,128.31237349601554,127.59516464327493,126.29592144498466,124.53105077025462,123.35700434751728,122.034479775405,120.78583793042169,119.22147214860755,117.94551032413926,116.56240666708202,115.64112944584053,114.15801090736434,112.69888643782716,111.43694095065985,109.76638359641277,108.10414101853068,106.67780052437547,105.67788927522503,104.35977530973223,103.04166134423943,101.72354737874664,100.40543341325386,99.08731944776106,97.76920548226826,96.45109151677548,95.13297755128269,93.8148635857899,92.4967496202971,91.17863565480431,89.86052168931153,88.54240772381873,87.22429375832593,85.90617979283314,84.58806582734036,83.26995186184757,81.95183789635479,80.633723930862,79.31560996536922,77.99749599987643,76.67938203438365,75.36126806889087,74.04315410339808,72.7250401379053,71.40692617241251,70.08881220691973,68.77069824142694,67.45258427593416,66.13447031044137,64.81635634494859,63.4982423794558,62.18012841396302,60.862014448470234,59.54390048297745,58.225786517484664,56.90767255199188
13,Jefferson County LF No. 2,7035 Narrows Road,33.7077,-86.7104,1982,2100,1,73,1073,Jefferson County,3.0496376417836797,6.003381503608514,9.02368023074971,12.240753921307501,15.630394274900619,20.054443257837445,24.568009884235167,29.11919607547052,33.702416170542556,38.36492353032458,43.09477679204795,47.743532557291886,52.73728517410119,57.721811642224935,62.74731039697611,67.75936991250788,72.74892497006908,78.12143422417665,83.1366952079078,87.86060226479917,92.98177874780923,98.27925680601939,103.66054558170212,109.21250094968676,115.06644067882505,121.0093668072941,127.6785005209178,133.9620836045699,140.48148866414016,147.17519787560764,154.41819944213867,161.34425962630434,168.30401835647604,175.33584592911478,181.659839021924,187.54008069270898,192.95165150958886,197.90801124328846,202.45112768824126,206.60825164484035,210.40461837377737,214.69955856507147,218.62094168658638,222.18881329823074,225.42537082379627,228.3516448405017,230.98722074115534,233.3504270042684,235.4583216277095,243.3368549164622,250.59482047841664,258.05377101733205,264.9123483115685,271.2061347740492,276.96840133584686,282.2293687424722,287.017756408408,291.3608059749556,295.28372407250106,298.80975395065104,301.9607071740144,304.75705162629447,307.2178305391675,309.3609580684032,311.2033288549501,312.7606570628949,314.4390128802995,315.8253376371105,316.934747661335,317.7814243906204,318.3788273280759
